tweet_id,createdAt,context,consensus_prediction,consensus_target,consensus_sentiment,gemini_target,gemini_sentiment,gemini_reasoning,grok_target,grok_sentiment,grok_reasoning
1880577632322154911,2025-01-18 11:27:01+00:00,"@frankdegods: Over the next 3 days, TRUMP will have a biblical run similar to the run that happened with Elon and DOGE leading up to SNL
@frankdegods: That'll be the local top, maybe? You never know with this guy.",Prediction,@trump,bullish,@trump,bullish,Frank predicts that TRUMP will have a 'biblical run' similar to the one that happened with Elon and DOGE leading up to SNL.,No target found,No target found,No target found
1880577439958761521,2025-01-18 11:26:15+00:00,"@frankdegods: Over the next 3 days, TRUMP will have a biblical run similar to the run that happened with Elon and DOGE leading up to SNL",Prediction,@trump,bullish,@trump,bullish,"Frank predicts that TRUMP will have a significant increase in value over the next 3 days, similar to the increase that DOGE experienced leading up to SNL.",No target found,No target found,No target found
1880571461402030095,2025-01-18 11:02:30+00:00,"@frankdegods: trump &amp; bitcoin barbell might be the safest, easiest 10x over the next 4 years

ai coins &amp; hyperliquid the riskier barbell for a potential 10x-100x in 1 year",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1880570677687996925,2025-01-18 10:59:23+00:00,@frankdegods: ngl i think i might long on binance lol,Prediction,@binance,bullish,@binance,bullish,"Frank says he might 'long on binance', which suggests he is bullish on the project.",No target found,No target found,No target found
1880558370815623394,2025-01-18 10:10:29+00:00,"@frankdegods: Realistically, we're in the 4th inning

5th inning is trump first 90 day plan 
6th inning is regulation getting fixed
7th inning is when more people are launching tokens than companies
8th inning is when they start printing the money again
9th inning is BTC at $2.1M",Prediction,$BTC,bullish,$BTC,bullish,Frank predicts that Bitcoin ($BTC) will reach $2.1 million in the 9th inning.,No target found,No target found,No target found
1880556941791072409,2025-01-18 10:04:48+00:00,"@frankdegods: a lot of people just got the biggest dopamine rush for top blasting a coin at 1B 

now they will have ungodly sums of money

onchain is about to go major league

strap in. your chances of getting really rich are actually about to increase. pay attention. lock in.",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1880531591950487824,2025-01-18 08:24:04+00:00,"@Web3Quant: lot of liquidity will move back to memes
@frankdegods: still probably will go back to ai coins 🤷‍♂️",Prediction,Memes,bearish,Memes,bearish,Frank believes that liquidity will move away from memes and back to AI coins.,No target found,No target found,No target found
1880519474673250402,2025-01-18 07:35:55+00:00,@frankdegods: unfortunately i think celeb coins will be back maybe some a-listers this time,Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1880516173558927564,2025-01-18 07:22:48+00:00,@frankdegods: feels underpriced at 13M https://t.co/sqpdpH26k8,Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1880515270395175339,2025-01-18 07:19:13+00:00,"@frankdegods: only a few ai coins showing strength tonight

blood bath otherwise",Prediction,AI,bullish,AI,bullish,"Frank mentions that only a few AI coins are showing strength, implying that he is bullish on AI as a whole.",No target found,No target found,No target found
1880502228282470474,2025-01-18 06:27:23+00:00,"@frankdegods: elon = doge
trump = trump

fuck it flip doge",Prediction,$DOGE,bullish,$DOGE,bullish,"Frank says ""elon = doge"" and ""trump = trump"", indicating that he is bullish on both DOGE and TRUMP.",No target found,No target found,No target found
1880497137433399637,2025-01-18 06:07:10+00:00,"@notthreadguy: hawk tuah was like 30 days too early man
@frankdegods: if hawk tuah launched tomorrow it would unironically go to $3B-$4B instantly",Prediction,@hawk tuah,bullish,@hawk tuah,bullish,"Frank believes that if hawk tuah launched tomorrow, it would instantly reach a market cap of $3B-$4B.",No target found,No target found,No target found
1880495754508419482,2025-01-18 06:01:40+00:00,"@frankdegods: This the type of shit that sends Solana to $1000 ngl

can't price this in",Prediction,$SOL,bullish,$SOL,bullish,"Frank predicts that Solana will reach $1000, indicating a bullish sentiment towards the token.",No target found,No target found,No target found
1880490403113365747,2025-01-18 05:40:24+00:00,"@frankdegods: out of everyone in the house, threadguy made the sickest trade i've seen in a minute. g fuckin g.
@notthreadguy: love you
@frankdegods: buy some ai coins when you close this one out buddy g.g.
@notthreadguy: closing it out right now what the FUCK you think we buying man
@frankdegods: FIND OUT NEXT WEEK ON DEV WARS",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1880488312470921669,2025-01-18 05:32:06+00:00,"@frankdegods: out of everyone in the house, threadguy made the sickest trade i've seen in a minute. g fuckin g.
@notthreadguy: love you
@frankdegods: buy some ai coins when you close this one out buddy g.g.",Prediction,AI,bullish,AI,bullish,"Frank suggests buying AI coins, indicating a bullish sentiment towards the AI meta.",No target found,No target found,No target found
1880466051202486288,2025-01-18 04:03:38+00:00,@frankdegods: Registered securities. This cycle. Book it.,Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1880465023589609534,2025-01-18 03:59:33+00:00,"@ShockedJS: Genuinely feeling a bit depressed after missing that

Wasn’t home
@frankdegods: all good, can hit the next one in 4 years",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1880458454160326722,2025-01-18 03:33:27+00:00,"@frankdegods: if donald trump is saying he wants to pump crypto to the moon

all you have to do is buy some bitcoin, vote for him, and if he actually pumps your bags

he will end up doing more for you PERSONALLY than any president in the history of the country 

it’s really that simple
@frankdegods: it really was this simple",Prediction,$BTC,bullish,$BTC,bullish,"Frank suggests buying Bitcoin and voting for Trump, who he believes will pump the price of Bitcoin.",No target found,No target found,No target found
1880458279501066481,2025-01-18 03:32:45+00:00,"@frankdegods: Trump winning will be remembered as the moment that ushered in the Golden Bull Run of the 2020's.
@frankdegods: 🎯",Prediction,@trump,bullish,@trump,bullish,"Frank believes that Trump winning will usher in a period of prosperity for the crypto market, which he refers to as the ""Golden Bull Run of the 2020's"".",No target found,No target found,No target found
1880449932269932740,2025-01-18 02:59:35+00:00,"@frankdegods: Yes, your coins are down right now but who cares? 

The president of the united states just launched a memecoin on the Solana blockchain. 

Throw everything you thought you knew out the window. It's going to get insane. 

We were right. We are right. Everyone is coming HERE.",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1880446697383555559,2025-01-18 02:46:44+00:00,@frankdegods: Trump might actually send Bitcoin to $1M,Prediction,$BTC,bullish,$BTC,bullish,Frank predicts that Trump's actions might cause the price of Bitcoin to rise to $1 million.,No target found,No target found,No target found
1880153016722157720,2025-01-17 07:19:45+00:00,"@frankdegods: For some reason this part of the cycle has been crystal clear for me so far. 

The good news is there are many, many opportunities ahead of us. 

Every developer that gets rich in the Solana trenches means 100 more that will join and want to do the same. 

This started with AI but it will spread to much, much more than just AI.
@GojoCryptic: &amp; $MLG will be the coin to lead the entire charge on GAMING
@frankdegods: 🎯",Prediction,$MLG,bullish,$MLG,bullish,"Frank believes that $MLG will lead the charge in the gaming sector, which is a rapidly growing area within the crypto industry.",No target found,No target found,No target found
1880094434915938497,2025-01-17 03:26:58+00:00,"@Aelio33: These bros have been getting faded a lot on the TL but imo they're gonna be proven right in a few months

Just like people will be saying ""Murad was right"" when the memecoin super cycle is further validated (which it will be imo)

People will also be saying ""Frank/Threadguy were right"" when AI super cycle is validated (which it will be imo)

Don't fud yourself out of a generational opportunity 

This trade is actually really easy
@frankdegods: 🎯",Prediction,AI,bullish,AI,bullish,Frank believes that the memecoin and AI super cycles will be validated in the future.,No target found,No target found,No target found
1880094434915938497,2025-01-17 03:26:58+00:00,"@Aelio33: These bros have been getting faded a lot on the TL but imo they're gonna be proven right in a few months

Just like people will be saying ""Murad was right"" when the memecoin super cycle is further validated (which it will be imo)

People will also be saying ""Frank/Threadguy were right"" when AI super cycle is validated (which it will be imo)

Don't fud yourself out of a generational opportunity 

This trade is actually really easy
@frankdegods: 🎯",Prediction,AI,bullish,AI,bullish,Frank believes that the memecoin and AI super cycles will be validated in the future.,No target found,No target found,No target found
1879990194201612532,2025-01-16 20:32:45+00:00,"@frankdegods: the most bullish part about this is, this is like a 3 month old take

if this trend continues, naval will be tweeting about infra 3 months from now 😂 https://t.co/fwIPBT25RG",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1878715275731947857,2025-01-13 08:06:41+00:00,"@cryptolyxe: “ai super-cycle” they said. https://t.co/J5WfPFQj0G
@frankdegods: binance perps are bullish they said 😭",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1878685528918478955,2025-01-13 06:08:29+00:00,"@frankdegods: “hearing the team is paying for finder trending, this is definitely going to $300k”
@frankdegods: kill me",Prediction,@none,bullish,@none,bullish,Frank predicts that the team paying for finder trending will lead to a price increase of $300k.,No target found,No target found,No target found
1878685434366349387,2025-01-13 06:08:06+00:00,"@frankdegods: “hearing the team is paying for finder trending, this is definitely going to $300k”",Prediction,@none,bullish,@none,bullish,Frank predicts that the team paying for finder trending will result in a positive outcome for the project.,No target found,No target found,No target found
1878681604274667820,2025-01-13 05:52:53+00:00,"@blknoiz06: the ai trade is OVER

all of your vaporware coins are going to ZERO
@frankdegods: https://t.co/yIuTAZgXpo",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1876937214585721168,2025-01-08 10:21:18+00:00,@frankdegods: AGI might start in a lab but it will end up on Solana,Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1876924942270287936,2025-01-08 09:32:32+00:00,"@frankdegods: too many agents
too many frameworks

only best will survive but the ones that survive will be parabolic type returns",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1876784486576197829,2025-01-08 00:14:25+00:00,"@CoaelOne: Banks just called ThreadGuy on stream and trolled him for missing MLG 😂 https://t.co/laYvMiIVVU
@frankdegods: last like 5 coins i've told this kid to buy are up only and i call him to buy MLG and he just LAUGHS 😂",Prediction,$MLG,bullish,$MLG,bullish,Frank told ThreadGuy to buy MLG and was laughing when ThreadGuy didn't.,No target found,No target found,No target found
1876615402622693781,2025-01-07 13:02:32+00:00,"@frankdegods: The biggest AI coins will just keep getting bigger because they’re going to be the new alt coins
@pumpdotfun: AI supercycle
@frankdegods: bink!",Prediction,AI,bullish,AI,bullish,Frank believes that AI coins will continue to grow in value because they will become the new alt coins.,No target found,No target found,No target found
1876611122713006381,2025-01-07 12:45:32+00:00,@frankdegods: The biggest AI coins will just keep getting bigger because they’re going to be the new alt coins,Prediction,AI,bullish,AI,bullish,"Frank believes that AI coins will continue to grow in popularity and value, becoming the new alt coins.",No target found,No target found,No target found
1876104721133650186,2025-01-06 03:13:16+00:00,@frankdegods: AGI will be the biggest global narrative in 2025,Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1875642504739254284,2025-01-04 20:36:35+00:00,"@frankdegods: SOL to $4800
@EasyEatsBodega: Wut about the unlocks
@frankdegods: Bullish. I understand it now.",Prediction,$SOL,bullish,$SOL,bullish,Frank predicts that $SOL will reach $4800.,No target found,No target found,No target found
1875641651844260228,2025-01-04 20:33:12+00:00,@frankdegods: SOL to $4800,Prediction,$SOL,bullish,$SOL,bullish,Frank predicts that the price of $SOL will rise to $4800.,No target found,No target found,No target found
1875018576480104793,2025-01-03 03:17:19+00:00,@frankdegods: Missed Nvidia? Buy AI coins,Prediction,AI,bullish,AI,bullish,"Frank suggests buying AI coins, implying that he is bullish on the AI meta.",No target found,No target found,No target found
1875017446404550760,2025-01-03 03:12:50+00:00,"@frankdegods: AI coins top when AI tops
@frankdegods: -pastagotsauce",Prediction,AI,bullish,AI,bullish,"Frank says ""AI coins top when AI tops"".",No target found,No target found,No target found
1875016498110177476,2025-01-03 03:09:03+00:00,@frankdegods: AI coins top when AI tops,Prediction,AI,bullish,AI,bullish,"Frank says that AI coins will top when AI tops, implying that he is bullish on AI.",No target found,No target found,No target found
1875010670103777525,2025-01-03 02:45:54+00:00,@frankdegods: By Q2-Q3 indie game developers will launch through pump fun,Prediction,GameFi,bullish,GameFi,bullish,"Frank predicts that indie game developers will launch through pump fun in Q2-Q3, which suggests that he is bullish on the GameFi meta.",No target found,No target found,No target found
1875009299350798819,2025-01-03 02:40:27+00:00,@frankdegods: The crypto GTA will likely launch organically on pump fun,Prediction,GameFi,bullish,GameFi,bullish,"Frank predicts that the crypto GTA will launch organically on pump fun, which suggests that he is bullish on the GameFi meta.",No target found,No target found,No target found
1875003031605092550,2025-01-03 02:15:33+00:00,"@Ga__ke: remind me again why you want the agents to battle? 

are they just little pawns for your entertainment?
@frankdegods: fud is bullish",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1874955717356191812,2025-01-02 23:07:32+00:00,"@frankdegods: In 1-2 months, Raoul will be writing investment reports on the best AI coins.",Prediction,AI,bullish,AI,bullish,"Frank predicts that Raoul will be writing investment reports on the best AI coins in 1-2 months, indicating that he is bullish on AI.",No target found,No target found,No target found
1874884873011470409,2025-01-02 18:26:02+00:00,"@frankdegods: ai coins so hot these coins pumping even after devs fsh it

bros be talking bout CTOing githubs 😭😂",Prediction,AI,bullish,AI,bullish,"Frank mentions that 'ai coins' are 'pumping even after devs fsh it', indicating that he is bullish on AI-related cryptocurrencies.",No target found,No target found,No target found
1874776888356589649,2025-01-02 11:16:56+00:00,@frankdegods: can binance perps please be bullish in 2025,Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1874686985090326702,2025-01-02 05:19:41+00:00,"@frankdegods: SOL 25 going to be like ETH 21

Renaissance of new ideas, builders and biblical runs.",Prediction,$SOL,bullish,$SOL,bullish,"Frank compares SOL to ETH, implying that SOL will experience a similar bull run to ETH in 2021.",No target found,No target found,No target found
1874685659820273830,2025-01-02 05:14:25+00:00,"@frankdegods: i remember the 2021-2022 bull market was electric almost every single day, people making & losing tons of money and full of laughter.

the macro price wasn’t always going up - but the vibes were steadily increasing. for the first time it’s starting to feel like this.

could be more macro turbulence ahead, but i think it’s just getting started.
@frankdegods: 🎯",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1874685544355320187,2025-01-02 05:13:58+00:00,"@frankdegods: IT IS ETH 2021 SEASON AND IT IS HAPPENING ON SOLANA RIGHT NOW

ACT ACCORDINGLY AND LOCK IN
@frankdegods: 🎯",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1874684878228541533,2025-01-02 05:11:19+00:00,"@frankdegods: SOL 24 reminds me of ETH 20

SOL 25 going to be like ETH 21

Renaissance of new ideas, builders and biblical runs.
@frankdegods: 🎯",Prediction,$SOL,bullish,$SOL,bullish,"Frank compares SOL 24 to ETH 20 and predicts that SOL 25 will be like ETH 21, suggesting that he is bullish on both SOL and ETH.",No target found,No target found,No target found
1874684743046013164,2025-01-02 05:10:47+00:00,"@frankdegods: in 2021 it was all about the ETH whales
in 2025 it will be all about the SOL whales
@frankdegods: ⌛️",Prediction,$SOL,bullish,$SOL,bullish,Frank predicts that SOL whales will be more influential in 2025 than ETH whales were in 2021.,No target found,No target found,No target found
1874648437410709697,2025-01-02 02:46:31+00:00,"@rektmando: Yes I’ve been banging my fist on the table about this for months
@frankdegods: it's a retweet october ai bullposts typa day for sure cheers 🥂",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1874618896571056580,2025-01-02 00:49:08+00:00,"@frankdegods: The reason onchain crypto stagnates & accelerates is strictly because of 1 variable. It's not the macro market.

It's talent. Talented people building cool shit that people want to speculate on. That's it.

So, back in October, I start to notice that these regular AI devs were getting really fucking rich overnight. That's actually what made it click. It wasn't the tech, it wasn't the typos, it wasn't even the AI itself.

An open source developer making millions in a week does not go unnoticed. They have friends. Their friends start to notice. Now they want to launch something too.

The cycle continues & accelerates. Soon, everyone working in AI & Silicon Valley will have a friend that made a Pump Fun and now has millions.

It'll get obnoxious. People working in Web2 will start to feel retarded for not being in crypto. They're going to join the space.

Some will be grifters, but some will be the perfect combination of talent & integrity. They're going to build incredible things that disrupt the current winners.

This isn't about macro markets, it's about talented people getting to bootstrap their ambitious ideas in the open, uncensored internet capital markets.

Fuck the macro. That's the bet. You might be late to the first wave of AI, but you're early to the internet capital markets.
@frankdegods: This is specifically what gave me max conviction on AI x Crypto right when it first started.

https://t.co/K0oORNysU6",Prediction,AI,bullish,AI,bullish,Frank believes that the combination of AI and crypto will lead to the development of incredible things that will disrupt the current winners.,No target found,No target found,No target found
1874600834878853549,2025-01-01 23:37:22+00:00,"@frankdegods: every single coin now https://t.co/HJ72DDByKA
@frankdegods: (very bullish for my ai memecoin infrastructure bags)
@frankdegods: no glaze, but 🎯",Prediction,AI,bullish,AI,bullish,"Frank mentions that he is bullish on his ""ai memecoin infrastructure bags"", which suggests that he is bullish on the AI and Memes metas.",No target found,No target found,No target found
1874562463477449119,2025-01-01 21:04:53+00:00,"@frankdegods: The higher the big AI coins go, the higher the small AI coins can go.",Prediction,AI,bullish,AI,bullish,Frank believes that the growth of large AI coins will lead to the growth of smaller AI coins.,No target found,No target found,No target found
1874543605546877255,2025-01-01 19:49:57+00:00,"@notthreadguy: ai agent mc is  ~$15b with ZERO t1 exchange listings 

this is gonna get really really stupid really really fast
@frankdegods: 15b? fuck it make it 1500b",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1874366471465558104,2025-01-01 08:06:05+00:00,"@polarsterrr: probably nothing https://t.co/w2TB2YjXGr
@frankdegods: top 2 and it ain’t 2",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1874333253550956807,2025-01-01 05:54:05+00:00,@frankdegods: Market hasn’t priced in every dev who’s secret new year’s resolution is to send the absolute fuck out of your bags,Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1874251356879622482,2025-01-01 00:28:40+00:00,@frankdegods: Solana will be the birthplace of AGI,Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1874229179119784045,2024-12-31 23:00:32+00:00,"@FFVV1211: Name 1 NFT project under 1 eth you’re bullish af on, tired of talking abt the same 4-5 projects lol
@frankdegods: https://t.co/VbyFzAyQi9",Prediction,@none,bullish,@none,bullish,Frank provides a link to an NFT project that he is bullish on.,No target found,No target found,No target found
1874067438243021039,2024-12-31 12:17:50+00:00,@frankdegods: so i guess the etf wasn’t a sell the news event https://t.co/tB4ZCcIAxe,Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1874059138629825021,2024-12-31 11:44:51+00:00,@frankdegods: all base trenches need is a daily god sender and i think it pops off,Prediction,@base trenches,bullish,@base trenches,bullish,"Frank believes that Base Trenches will ""pop off"" if it adds a daily god sender.",No target found,No target found,No target found
1873991740375654892,2024-12-31 07:17:02+00:00,"@frankdegods: missed kekius so i bought my first base ai coin today
@BavvaBrypto: is it CPA
@frankdegods: yeah lol",Prediction,$CPA,bullish,$CPA,bullish,Frankdegods bought CPA and said 'yeah lol' when asked if it was CPA.,No target found,No target found,No target found
1873990774142214461,2024-12-31 07:13:12+00:00,@frankdegods: missed kekius so i bought my first base ai coin today,Prediction,AI,bullish,AI,bullish,"Frank bought a base AI coin, indicating that he is bullish on the AI meta.",No target found,No target found,No target found
1873685987731329368,2024-12-30 11:02:05+00:00,"@frankdegods: How was 2024 for you?
@redwithbag: INSPIRATIONAL!
@frankdegods: RED going mainstream 2025",Prediction,@red,bullish,@red,bullish,Frank predicts that RED will go mainstream in 2025.,No target found,No target found,No target found
1873209669071847826,2024-12-29 03:29:22+00:00,"@404flipped: ok fine idc

2k to 120k https://t.co/GTjNgeOV76
@frankdegods: eq generational run",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1872078966976323834,2024-12-26 00:36:21+00:00,"@frankdegods: Using tokens to accelerate open source technology is probably going to be the last tidal wave of wealth transfer in the history of humanity
@tomismeta: Auto-deploy token for every git repo.
@frankdegods: One trillion dollars",Prediction,@none,bullish,@none,bullish,Frank is bullish on the idea of auto-deploying tokens for every git repo.,No target found,No target found,No target found
1872061839271743586,2024-12-25 23:28:18+00:00,@frankdegods: Using tokens to accelerate open source technology is probably going to be the last tidal wave of wealth transfer in the history of humanity,Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1872061301725495567,2024-12-25 23:26:10+00:00,"@frankdegods: I think it's time I finally enter the BASE AI trenches

Where do I start?
@beast_ico: Hi Frank - if you have any questions about specific agents on Virtuals I’m always around in Conviction on telegram. Have run a very small amount of eth into a very large amount of eth in the Virtuals ecosystem in the last couple months. Lots and lots and lots of opportunity
@frankdegods: December 26th, my journey begins.",Prediction,AI,bullish,AI,bullish,"Frank is expressing interest in entering the AI trenches, suggesting he is bullish on the AI meta.",No target found,No target found,No target found
1872060500860870907,2024-12-25 23:22:59+00:00,@frankdegods: Nonzero chance that Web3 AI simply just becomes bigger than the current AI,Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1872059454847697201,2024-12-25 23:18:49+00:00,"@frankdegods: I think it's time I finally enter the BASE AI trenches

Where do I start?
@frankdegods: I don't know what it is I just felt it in my gut that it's going to start to get nuclear on BASE.

Don't get me wrong... Solana AI is still the absolute flagship. It's the major leagues.

But, it's getting to critical mass status soon for BASE AI.
@VincentOnChain: Why?
@frankdegods: AIXBT as a clear winner generally in the AI Agent space",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1872057831006015648,2024-12-25 23:12:22+00:00,"@frankdegods: AI is chain agnostic but Solana is still the best
@frankdegods: Just calling a spade a spade",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1872057603448303672,2024-12-25 23:11:28+00:00,@frankdegods: AI is chain agnostic but Solana is still the best,Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1872056705150026103,2024-12-25 23:07:54+00:00,"@frankdegods: I think it's time I finally enter the BASE AI trenches

Where do I start?
@frankdegods: I don't know what it is I just felt it in my gut that it's going to start to get nuclear on BASE.

Don't get me wrong... Solana AI is still the absolute flagship. It's the major leagues.

But, it's getting to critical mass status soon for BASE AI.",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1871861461062127956,2024-12-25 10:12:04+00:00,"@frankdegods: was playing around with @arkham's intelligence tools today

pretty cool that it gives you detailed balance history of your wallet

pulled out another ~$1M to ape HYPE at $8 & stack some USDC in the bank account

~$1M in $HYPE
~$500K in USD back to bank

so roughly $715 to $3M on this wallet as of right now

but definitely feel a little stuck lately, trying to get to 8 figures. i'm good at finding runners early but not great with bet sizing on bigger caps.

always trying to get better & will continue to share milestones on the journey. 

merry christmas 🎄
@frankdegods: some of my best scans of the last 1/2 months https://t.co/9EBKLzau7Y
@frankdegods: also honestly don't recommend copy-trading me

not prioritizing win rate, mostly prioritizing exposure to exponential upside

so i click a lot & roundtrip a lot, so friends that have tried to copy trade it end up running out of SOL

but i tend to click into stuff that i think is good, so maybe just set up noti's, instead of auto-copying
@TopwalletsAI: Winrate isn't too bad for the last 7 days 😎 https://t.co/KL59XIFhyk https://t.co/Y7v1etGDJG
@frankdegods: no wonder my ROI is so low!",Prediction,$HYPE,bullish,$HYPE,bullish,Frank mentions pulling out ~$1M to ape HYPE at $8 and stacking some USDC in the bank account.,No target found,No target found,No target found
1871860652748505232,2024-12-25 10:08:51+00:00,"@frankdegods: was playing around with @arkham's intelligence tools today

pretty cool that it gives you detailed balance history of your wallet

pulled out another ~$1M to ape HYPE at $8 & stack some USDC in the bank account

~$1M in $HYPE
~$500K in USD back to bank

so roughly $715 to $3M on this wallet as of right now

but definitely feel a little stuck lately, trying to get to 8 figures. i'm good at finding runners early but not great with bet sizing on bigger caps.

always trying to get better & will continue to share milestones on the journey. 

merry christmas 🎄
@frankdegods: some of my best scans of the last 1/2 months https://t.co/9EBKLzau7Y
@frankdegods: also honestly don't recommend copy-trading me

not prioritizing win rate, mostly prioritizing exposure to exponential upside

so i click a lot & roundtrip a lot, so friends that have tried to copy trade it end up running out of SOL

but i tend to click into stuff that i think is good, so maybe just set up noti's, instead of auto-copying
@sid_onchain: what's the single most imp thing that makes it good for you?
@frankdegods: high upside i try to limit the # of coins I click into that can't go to many millions but i relapse sometimes and click on stupid shit, i'm only human",Prediction,$HYPE,bullish,$HYPE,bullish,Frank mentions pulling out ~$1M to ape HYPE at $8 and stacking some USDC in the bank account.,No target found,No target found,No target found
